our_code,supplier_code,description,pack_size_ea
H100452,,Ctnr Kraft FSC  Dispersion Ice-cream  32oz,500
H100453,,Lid Std Kraft FSC Dispersion 90dia for 8oz cntr,500
H100454,,Lid Std Kraft FSC Dispersion 97dia for 16oz cntr,500
H100455,,Lid Std Kraft FSC Dispersion 117dia for 32oz cntr,500
H100467,,Lid Paper FSC PE Stackable 97dia NZN Cookies&Cream,500
H100468,,Lid Paper FSC PE Stackable 97dia NZN Strawberry Surpris,500
H100472,,Ctnr Paper FSC Dispersion 16oz/472ml Kiwi Sorbet Green,500
H100473,,Ctnr Paper FSC Dispersion 16oz/472ml Kiwi Sorbet Gold,500
H100474,,Ctnr Paper FSC Dispersion 16oz/472ml Kiwi Sorbet Red,500
H100475,,Lid Paper FSC Std 97dia for 16oz/472ml Kiwi Sorbet Gree,500
H100476,,Lid Paper FSC Std 97dia for 16oz/472ml Kiwi Sorbet Gold,500
H100477,,Lid Paper FSC Std 97dia for 16oz/472ml Kiwi Sorbet Red,500
H100481,,Cup RPet Cold 295ml Clear,"1,000"
H100482,,Cup RPET Cold 430ml Clear,"1,000"
H100483,,Cup RPET Cold 530ml Clear,"1,000"
H100484,,Lid Domed RPET fits 295ml Cup,"1,000"
H100485,,Lid Flat RPET fits 430/ 530ml Cup,"1,000"
H100486,,Lid Domed RPET fits 430ml/530ml cups,"1,000"
H100489,,Ctnr Paper FSC Disp 4oz 68dia Kiwi Sorbet Green,"1,000"
H100490,,Ctnr Paper FSC Disp 4oz 68dia Kiwi Sorbet Gold,"1,000"
H100491,,Ctnr Paper FSC Disp 4oz 68dia Kiwi Sorbet Red,"1,000"
H100494,,Lid Paper w/spoon FSC Std Disp 4oz 68dia Kiwi Sorbet Re,"1,000"
H100495,,Box Paper Home Compostable Snack White,500
H100496,,Box Paper Home Compostable Dinner White,400
H100497,,"Box FSC Pizza White/Kraft 9"" 229x229x42",100
H100498,,"Box FSC Pizza White/Kraft 12"" 305x305x42",100
H100499,,"Box FSC Pizza White/Kraft 15"" 381x381x42",50
